item_code,frequency,decision_text,domain
"A_READ","Almost Always","Almost always meets grade-level expectations for reading skills.","General"
"A_READ","Frequently","Frequently meets grade-level expectations for reading skills.","General"
"A_READ","Sometimes","Sometimes meets grade-level expectations for reading skills.","General"
"A_READ","Occasionally","Occasionally meets grade-level expectations for reading skills.","General"
"A_READ","Almost Never","Almost never meets grade-level expectations for reading skills.","General"
"A_WRITE","Almost Always","Almost always meets expectations for grade-level writing skills.","General"
"A_WRITE","Frequently","Frequently meets expectations for grade-level writing skills.","General"
"A_WRITE","Sometimes","Sometimes meets expectations for grade-level writing skills.","General"
"A_WRITE","Occasionally","Occasionally meets expectations for grade-level writing skills.","General"
"A_WRITE","Almost Never","Almost never meets expectations for grade-level writing skills.","General"
"A_MATH","Almost Always","Almost always meets expectations for grade-level math skills.","General"
"A_MATH","Frequently","Frequently meets expectations for grade-level math skills.","General"
"A_MATH","Sometimes","Sometimes meets expectations for grade-level math skills.","General"
"A_MATH","Occasionally","Occasionally meets expectations for grade-level math skills.","General"
"A_MATH","Almost Never","Almost never meets expectations for grade-level math skills.","General"
"A_P_S_ARTICULATE_CL1","Almost Always","Almost always articulates clearly enough to be understood.","General"
"A_P_S_ARTICULATE_CL1","Frequently","Frequently articulates clearly enough to be understood.","General"
"A_P_S_ARTICULATE_CL1","Sometimes","Sometimes articulates clearly enough to be understood.","General"
"A_P_S_ARTICULATE_CL1","Occasionally","Occasionally articulates clearly enough to be understood.","General"
"A_P_S_ARTICULATE_CL1","Almost Never","Almost never articulates clearly enough to be understood.","General"
"A_S_ADULTCOMM_CL1","Almost Always","Almost always communicates with adults effectively.","General"
"A_S_ADULTCOMM_CL1","Frequently","Frequently communicates with adults effectively.","General"
"A_S_ADULTCOMM_CL1","Sometimes","Sometimes communicates with adults effectively.","General"
"A_S_ADULTCOMM_CL1","Occasionally","Occasionally communicates with adults effectively.","General"
"A_S_ADULTCOMM_CL1","Almost Never","Almost never communicates with adults effectively.","General"
"A_B_DIRECTIONS_CL1","Almost Always","Almost always understands directions.","General"
"A_B_DIRECTIONS_CL1","Frequently","Frequently understands directions.","General"
"A_B_DIRECTIONS_CL1","Sometimes","Sometimes understands directions.","General"
"A_B_DIRECTIONS_CL1","Occasionally","Occasionally understands directions.","General"
"A_B_DIRECTIONS_CL1","Almost Never","Almost never understands directions.","General"
"A_INITIATE","Almost Always","Almost always initiates academic tasks.","General"
"A_INITIATE","Frequently","Frequently initiates academic tasks.","General"
"A_INITIATE","Sometimes","Sometimes initiates academic tasks.","General"
"A_INITIATE","Occasionally","Occasionally initiates academic tasks.","General"
"A_INITIATE","Almost Never","Almost never initiates academic tasks.","General"
"A_PLANORG","Almost Always","Almost always demonstrates ability to plan, organize, focus, and prioritize tasks.","General"
"A_PLANORG","Frequently","Frequently demonstrates ability to plan, organize, focus, and prioritize tasks.","General"
"A_PLANORG","Sometimes","Sometimes demonstrates ability to plan, organize, focus, and prioritize tasks.","General"
"A_PLANORG","Occasionally","Occasionally demonstrates ability to plan, organize, focus, and prioritize tasks.","General"
"A_PLANORG","Almost Never","Almost never demonstrates ability to plan, organize, focus, and prioritize tasks.","General"
"A_TURNIN","Almost Always","Almost always completes and turns in assigned work.","General"
"A_TURNIN","Frequently","Frequently completes and turns in assigned work.","General"
"A_TURNIN","Sometimes","Sometimes completes and turns in assigned work.","General"
"A_TURNIN","Occasionally","Occasionally completes and turns in assigned work.","General"
"A_TURNIN","Almost Never","Almost never completes and turns in assigned work.","General"
"A_B_CLASSEXPECT_CL1","Almost Always","Almost always follows classroom expectations.","General"
"A_B_CLASSEXPECT_CL1","Frequently","Frequently follows classroom expectations.","General"
"A_B_CLASSEXPECT_CL1","Sometimes","Sometimes follows classroom expectations.","General"
"A_B_CLASSEXPECT_CL1","Occasionally","Occasionally follows classroom expectations.","General"
"A_B_CLASSEXPECT_CL1","Almost Never","Almost never follows classroom expectations.","General"
"A_B_IMPULSE_CL1","Almost Always","Almost always exhibits impulsivity.","General"
"A_B_IMPULSE_CL1","Frequently","Frequently exhibits impulsivity.","General"
"A_B_IMPULSE_CL1","Sometimes","Sometimes exhibits impulsivity.","General"
"A_B_IMPULSE_CL1","Occasionally","Occasionally exhibits impulsivity.","General"
"A_B_IMPULSE_CL1","Almost Never","Almost never exhibits impulsivity.","General"
"A_ENGAGE","Almost Always","Almost always engaged in academic activities.","General"
"A_ENGAGE","Frequently","Frequently engaged in academic activities.","General"
"A_ENGAGE","Sometimes","Sometimes engaged in academic activities.","General"
"A_ENGAGE","Occasionally","Occasionally engaged in academic activities.","General"
"A_ENGAGE","Almost Never","Almost never engaged in academic activities.","General"
"A_INTEREST","Almost Always","Almost always shows interest in learning activities.","General"
"A_INTEREST","Frequently","Frequently shows interest in learning activities.","General"
"A_INTEREST","Sometimes","Sometimes shows interest in learning activities.","General"
"A_INTEREST","Occasionally","Occasionally shows interest in learning activities.","General"
"A_INTEREST","Almost Never","Almost never shows interest in learning activities.","General"
"A_PERSIST","Almost Always","Almost always persists with challenging tasks.","General"
"A_PERSIST","Frequently","Frequently persists with challenging tasks.","General"
"A_PERSIST","Sometimes","Sometimes persists with challenging tasks.","General"
"A_PERSIST","Occasionally","Occasionally persists with challenging tasks.","General"
"A_PERSIST","Almost Never","Almost never persists with challenging tasks.","General"
"A_GROWTH","Almost Always","Almost always demonstrates a growth mindset.","General"
"A_GROWTH","Frequently","Frequently demonstrates a growth mindset.","General"
"A_GROWTH","Sometimes","Sometimes demonstrates a growth mindset.","General"
"A_GROWTH","Occasionally","Occasionally demonstrates a growth mindset.","General"
"A_GROWTH","Almost Never","Almost never demonstrates a growth mindset.","General"
"A_S_CONFIDENT_CL1","Almost Always","Almost always displays confidence in self.","General"
"A_S_CONFIDENT_CL1","Frequently","Frequently displays confidence in self.","General"
"A_S_CONFIDENT_CL1","Sometimes","Sometimes displays confidence in self.","General"
"A_S_CONFIDENT_CL1","Occasionally","Occasionally displays confidence in self.","General"
"A_S_CONFIDENT_CL1","Almost Never","Almost never displays confidence in self.","General"
"A_S_POSOUT_CL1","Almost Always","Almost always demonstrates positive outlook.","General"
"A_S_POSOUT_CL1","Frequently","Frequently demonstrates positive outlook.","General"
"A_S_POSOUT_CL1","Sometimes","Sometimes demonstrates positive outlook.","General"
"A_S_POSOUT_CL1","Occasionally","Occasionally demonstrates positive outlook.","General"
"A_S_POSOUT_CL1","Almost Never","Almost never demonstrates positive outlook.","General"
"A_S_O_ACTIVITY_CL1","Almost Always","Almost always engaged in at least one extracurricular activity.","General"
"A_S_O_ACTIVITY_CL1","Frequently","Frequently engaged in at least one extracurricular activity.","General"
"A_S_O_ACTIVITY_CL1","Sometimes","Sometimes engaged in at least one extracurricular activity.","General"
"A_S_O_ACTIVITY_CL1","Occasionally","Occasionally engaged in at least one extracurricular activity.","General"
"A_S_O_ACTIVITY_CL1","Almost Never","Almost never engaged in at least one extracurricular activity.","General"
"Qualtrics Column","Almost Always","Almost Always","General"
"Qualtrics Column","Frequently","Frequently","General"
"Qualtrics Column","Sometimes","Sometimes","General"
"Qualtrics Column","Occasionally","Occasionally","General"
"Qualtrics Column","Almost Never","Almost Never","General"
"A_B_CLASSEXPECT_CL2","Almost Always","Almost always follows classroom expectations.","General"
"A_B_CLASSEXPECT_CL2","Frequently","Frequently follows classroom expectations.","General"
"A_B_CLASSEXPECT_CL2","Sometimes","Sometimes follows classroom expectations.","General"
"A_B_CLASSEXPECT_CL2","Occasionally","Occasionally follows classroom expectations.","General"
"A_B_CLASSEXPECT_CL2","Almost Never","Almost never follows classroom expectations.","General"
"A_B_DIRECTIONS_CL2","Almost Always","Almost always understands directions.","General"
"A_B_DIRECTIONS_CL2","Frequently","Frequently understands directions.","General"
"A_B_DIRECTIONS_CL2","Sometimes","Sometimes understands directions.","General"
"A_B_DIRECTIONS_CL2","Occasionally","Occasionally understands directions.","General"
"A_B_DIRECTIONS_CL2","Almost Never","Almost never understands directions.","General"
"A_B_IMPULSE_CL2","Almost Always","Almost always exhibits impulsivity.","General"
"A_B_IMPULSE_CL2","Frequently","Frequently exhibits impulsivity.","General"
"A_B_IMPULSE_CL2","Sometimes","Sometimes exhibits impulsivity.","General"
"A_B_IMPULSE_CL2","Occasionally","Occasionally exhibits impulsivity.","General"
"A_B_IMPULSE_CL2","Almost Never","Almost never exhibits impulsivity.","General"
"B_CLINGY","Almost Always","Almost always exhibits overly clingy or attention-seeking behaviors.","General"
"B_CLINGY","Frequently","Frequently exhibits overly clingy or attention-seeking behaviors.","General"
"B_CLINGY","Sometimes","Sometimes exhibits overly clingy or attention-seeking behaviors.","General"
"B_CLINGY","Occasionally","Occasionally exhibits overly clingy or attention-seeking behaviors.","General"
"B_CLINGY","Almost Never","Almost never exhibits overly clingy or attention-seeking behaviors.","General"
"B_SNEAK","Almost Always","Almost always demonstrates sneaky or dishonest behavior.","General"
"B_SNEAK","Frequently","Frequently demonstrates sneaky or dishonest behavior.","General"
"B_SNEAK","Sometimes","Sometimes demonstrates sneaky or dishonest behavior.","General"
"B_SNEAK","Occasionally","Occasionally demonstrates sneaky or dishonest behavior.","General"
